Date,Hawthorn
09-Oct-09,0.63
10-Oct-09,0.62
10-Oct-09,0.62
11-Oct-09,0.59
11-Oct-09,0.59
12-Oct-09,0.52
12-Oct-09,0.52
13-Oct-09,0.49
13-Oct-09,0.49
14-Oct-09,0.46
14-Oct-09,0.46
15-Oct-09,0.44
15-Oct-09,0.44
16-Oct-09,0.42
16-Oct-09,0.42
17-Oct-09,0.44
17-Oct-09,0.44
18-Oct-09,0.49
18-Oct-09,0.49
19-Oct-09,0.54
19-Oct-09,0.54
20-Oct-09,0.58
20-Oct-09,0.58
21-Oct-09,0.58
21-Oct-09,0.58
22-Oct-09,0.55
22-Oct-09,0.55
23-Oct-09,0.51
23-Oct-09,0.51
24-Oct-09,0.54
24-Oct-09,0.54
25-Oct-09,0.50
25-Oct-09,0.50
26-Oct-09,0.42
26-Oct-09,0.42
27-Oct-09,0.42
27-Oct-09,0.42
28-Oct-09,0.40
28-Oct-09,0.40
29-Oct-09,0.37
29-Oct-09,0.37
30-Oct-09,0.37
30-Oct-09,0.37
31-Oct-09,0.38
31-Oct-09,0.38
01-Nov-09,0.52
01-Nov-09,0.52
02-Nov-09,0.56
02-Nov-09,0.56
03-Nov-09,0.66
