x,T,,,
7.11E-01,5.78E-14,,,
7.12E-01,5.37E-14,,,
7.13E-01,4.98E-14,,,
7.14E-01,4.62E-14,,,
7.15E-01,4.29E-14,,,
7.16E-01,3.98E-14,,,
7.17E-01,3.69E-14,,,
7.18E-01,3.43E-14,,,
7.19E-01,3.18E-14,,,
7.20E-01,2.95E-14,,,
7.21E-01,2.73E-14,,,
7.22E-01,2.53E-14,,,
7.23E-01,2.35E-14,,,
7.24E-01,2.18E-14,,,
7.25E-01,2.02E-14,,,
7.26E-01,1.87E-14,,,
7.27E-01,1.73E-14,,,
7.28E-01,1.61E-14,,,
7.29E-01,1.49E-14,,,
7.30E-01,1.38E-14,,,
7.31E-01,1.28E-14,,,
7.32E-01,1.18E-14,,,
7.33E-01,1.10E-14,,,
7.34E-01,1.01E-14,,,
7.35E-01,9.39E-15,,,
7.36E-01,8.69E-15,,,
7.37E-01,8.05E-15,,,
7.38E-01,7.45E-15,,,
7.39E-01,6.89E-15,,,
7.40E-01,6.38E-15,,,
7.41E-01,5.90E-15,,,
7.42E-01,5.46E-15,,,
7.43E-01,5.05E-15,,,
7.44E-01,4.67E-15,,,
7.45E-01,4.32E-15,,,
7.46E-01,4.00E-15,,,
7.47E-01,3.70E-15,,,
7.48E-01,3.42E-15,,,
7.49E-01,3.16E-15,,,
7.50E-01,2.92E-15,,,
7.51E-01,2.70E-15,,,
7.52E-01,2.49E-15,,,
7.53E-01,2.31E-15,,,
7.54E-01,2.13E-15,,,
7.55E-01,1.97E-15,,,
7.56E-01,1.82E-15,,,
7.57E-01,1.68E-15,,,
7.58E-01,1.55E-15,,,
7.59E-01,1.43E-15,,,
7.60E-01,1.32E-15,,,
7.61E-01,1.22E-15,,,
7.62E-01,1.13E-15,,,
7.63E-01,1.04E-15,,,
7.64E-01,9.60E-16,,,
7.65E-01,8.86E-16,,,
7.66E-01,8.18E-16,,,
7.67E-01,7.55E-16,,,
7.68E-01,6.96E-16,,,
7.69E-01,6.42E-16,,,
7.70E-01,5.92E-16,,,
7.71E-01,5.46E-16,,,
7.72E-01,5.04E-16,,,
7.73E-01,4.65E-16,,,
7.74E-01,4.28E-16,,,
7.75E-01,3.95E-16,,,
7.76E-01,3.64E-16,,,
7.77E-01,3.35E-16,,,
7.78E-01,3.09E-16,,,
7.79E-01,2.85E-16,,,
7.80E-01,2.62E-16,,,
7.81E-01,2.42E-16,,,
7.82E-01,2.23E-16,,,
7.83E-01,2.05E-16,,,
7.84E-01,1.89E-16,,,
7.85E-01,1.74E-16,,,
7.86E-01,1.60E-16,,,
7.87E-01,1.47E-16,,,
7.88E-01,1.36E-16,,,
7.89E-01,1.25E-16,,,
7.90E-01,1.15E-16,,,
7.91E-01,1.06E-16,,,
7.92E-01,9.74E-17,,,
7.93E-01,8.96E-17,,,
7.94E-01,8.25E-17,,,
7.95E-01,7.58E-17,,,
7.96E-01,6.98E-17,,,
7.97E-01,6.42E-17,,,
7.98E-01,5.90E-17,,,
7.99E-01,5.42E-17,,,
8.00E-01,4.99E-17,,,
8.01E-01,4.58E-17,,,
8.02E-01,4.21E-17,,,
8.03E-01,3.87E-17,,,
8.04E-01,3.56E-17,,,
8.05E-01,3.27E-17,,,
8.06E-01,3.01E-17,,,
8.07E-01,2.76E-17,,,
8.08E-01,2.54E-17,,,
8.09E-01,2.33E-17,,,
8.10E-01,2.14E-17,,,
8.11E-01,1.96E-17,,,
8.12E-01,1.80E-17,,,
8.13E-01,1.66E-17,,,
8.14E-01,1.52E-17,,,
8.15E-01,1.40E-17,,,
8.16E-01,1.28E-17,,,
8.17E-01,1.18E-17,,,
8.18E-01,1.08E-17,,,
8.19E-01,9.89E-18,,,
8.20E-01,9.08E-18,,,
