t,T
8.98E+02,4.55E-03
8.99E+02,4.56E-03
9.00E+02,4.57E-03
9.01E+02,4.58E-03
9.02E+02,4.59E-03
9.03E+02,4.60E-03
9.04E+02,4.61E-03
9.05E+02,4.61E-03
9.06E+02,4.62E-03
9.07E+02,4.63E-03
9.08E+02,4.64E-03
9.09E+02,4.65E-03
9.10E+02,4.66E-03
9.11E+02,4.67E-03
9.12E+02,4.67E-03
9.13E+02,4.68E-03
9.14E+02,4.69E-03
9.15E+02,4.70E-03
9.16E+02,4.71E-03
9.17E+02,4.72E-03
9.18E+02,4.73E-03
9.19E+02,4.73E-03
9.20E+02,4.74E-03
9.21E+02,4.75E-03
9.22E+02,4.76E-03
9.23E+02,4.77E-03
9.24E+02,4.78E-03
9.25E+02,4.78E-03
9.26E+02,4.79E-03
9.27E+02,4.80E-03
9.28E+02,4.81E-03
9.29E+02,4.82E-03
9.30E+02,4.83E-03
9.31E+02,4.83E-03
9.32E+02,4.84E-03
9.33E+02,4.85E-03
9.34E+02,4.86E-03
9.35E+02,4.87E-03
9.36E+02,4.88E-03
9.37E+02,4.88E-03
9.38E+02,4.89E-03
9.39E+02,4.90E-03
9.40E+02,4.91E-03
9.41E+02,4.92E-03
9.42E+02,4.92E-03
9.43E+02,4.93E-03
9.44E+02,4.94E-03
9.45E+02,4.95E-03
9.46E+02,4.96E-03
9.47E+02,4.97E-03
9.48E+02,4.97E-03
9.49E+02,4.98E-03
9.50E+02,4.99E-03
9.51E+02,5.00E-03
9.52E+02,5.01E-03
9.53E+02,5.01E-03
9.54E+02,5.02E-03
9.55E+02,5.03E-03
9.56E+02,5.04E-03
9.57E+02,5.05E-03
9.58E+02,5.05E-03
9.59E+02,5.06E-03
9.60E+02,5.07E-03
9.61E+02,5.08E-03
9.62E+02,5.09E-03
9.63E+02,5.09E-03
9.64E+02,5.10E-03
9.65E+02,5.11E-03
9.66E+02,5.12E-03
9.67E+02,5.13E-03
9.68E+02,5.13E-03
9.69E+02,5.14E-03
9.70E+02,5.15E-03
9.71E+02,5.16E-03
9.72E+02,5.16E-03
9.73E+02,5.17E-03
9.74E+02,5.18E-03
9.75E+02,5.19E-03
9.76E+02,5.20E-03
9.77E+02,5.20E-03
9.78E+02,5.21E-03
9.79E+02,5.22E-03
9.80E+02,5.23E-03
9.81E+02,5.23E-03
9.82E+02,5.24E-03
9.83E+02,5.25E-03
9.84E+02,5.26E-03
9.85E+02,5.26E-03
9.86E+02,5.27E-03
9.87E+02,5.28E-03
9.88E+02,5.29E-03
9.89E+02,5.29E-03
9.90E+02,5.30E-03
9.91E+02,5.31E-03
9.92E+02,5.32E-03
9.93E+02,5.32E-03
9.94E+02,5.33E-03
9.95E+02,5.34E-03
9.96E+02,5.35E-03
9.97E+02,5.35E-03
